customerID,ActualChurn,PredictedChurn,ChurnProbability,RiskSegment
9537-VHDTA,0,0,0.2745131,Low Risk
2754-XBHTB,1,1,0.5596148,Medium Risk
5975-BAICR,0,0,0.050291583,Low Risk
3301-VKTGC,0,0,0.03448128,Low Risk
2877-VDUER,0,0,0.002173341,Low Risk
7717-BICXI,0,0,0.0023730202,Low Risk
0562-FGDCR,0,0,0.00016675387,Low Risk
3705-PSNGL,1,0,0.0023497115,Low Risk
0048-LUMLS,0,0,0.21720168,Low Risk
6497-TILVL,0,0,0.091673784,Low Risk
2108-YKQTY,1,0,0.36189044,Low Risk
3658-KIBGF,1,0,0.43170756,Low Risk
5482-NUPNA,1,0,0.2036125,Low Risk
7410-KTVFV,1,0,0.16780557,Low Risk
9033-EOXWV,1,0,0.1858827,Low Risk
8821-XNHVZ,1,1,0.9188639,High Risk
8224-KDLKN,0,0,0.00019660979,Low Risk
4825-FUREZ,0,0,0.0016534863,Low Risk
7534-BFESC,1,0,0.40393615,Low Risk
9138-EFSMO,0,0,0.02138703,Low Risk
4227-OJHAL,0,0,0.09421692,Low Risk
7279-NMVJC,0,0,0.04891233,Low Risk
8591-TKMZH,0,0,0.00989763,Low Risk
9283-LZQOH,1,0,0.44213873,Low Risk
3594-IVHJZ,0,0,0.08234481,Low Risk
1945-XISKS,0,0,0.0036568295,Low Risk
4359-INNWN,0,0,0.033488624,Low Risk
7649-SIJJF,0,0,8.152305e-05,Low Risk
9254-RBFON,1,0,0.1657339,Low Risk
0970-ETWGE,1,1,0.78310204,High Risk
7762-ONLJY,0,0,0.039014723,Low Risk
6710-HSJRD,0,0,0.14972006,Low Risk
8873-GLDMH,0,1,0.73164415,Medium Risk
9907-SWKKF,1,1,0.8139994,High Risk
4658-HCOHW,1,0,0.2670715,Low Risk
9330-VOFSZ,0,0,0.015134693,Low Risk
2860-RANUS,1,0,0.35967427,Low Risk
6234-PFPXL,0,0,0.34114894,Low Risk
7205-BAIAD,0,0,0.0011036515,Low Risk
3858-VOBET,1,0,0.47268444,Low Risk
5103-MHMHY,1,0,0.39098367,Low Risk
6119-SPUDB,0,0,0.0029848008,Low Risk
9389-ACWBI,0,0,0.4615617,Low Risk
3454-JFUBC,0,0,0.00013621585,Low Risk
1768-ZAIFU,1,1,0.924734,High Risk
7017-VFULY,0,0,0.07705238,Low Risk
9221-OTIVJ,1,1,0.8203376,High Risk
2482-CZGBB,1,0,0.44307268,Low Risk
7018-WBJNK,0,0,0.48873758,Low Risk
3331-HQDTW,1,0,0.047567885,Low Risk
4695-VADHF,1,0,0.13568647,Low Risk
4086-WITJG,0,0,8.0828475e-05,Low Risk
6297-NOOPG,0,0,0.07873551,Low Risk
8777-PVYGU,0,0,0.0062595694,Low Risk
4378-MYPGO,0,0,0.023014672,Low Risk
9313-CDOGY,0,0,0.018581036,Low Risk
4121-AGSIN,0,0,0.0047712266,Low Risk
0432-CAJZV,0,1,0.5363321,Medium Risk
9097-ZUBYC,0,0,0.36012417,Low Risk
9638-JIQYA,0,0,0.4747441,Low Risk
1024-GUALD,1,0,0.38422564,Low Risk
8024-XNAFQ,0,0,0.001168542,Low Risk
7587-RZNME,1,1,0.5663209,Medium Risk
1346-UFHAX,0,0,0.22029546,Low Risk
6374-NTQLP,0,0,0.013067002,Low Risk
6625-FLENO,0,0,0.023915887,Low Risk
7375-WMVMT,0,0,0.0004723501,Low Risk
6910-HADCM,1,1,0.9613254,High Risk
7401-JIXNM,0,0,0.0041249283,Low Risk
7338-ERIVA,0,0,0.009078948,Low Risk
5376-DEQCP,1,1,0.59465414,Medium Risk
0909-SELIE,0,0,0.0006285863,Low Risk
5419-KLXBN,1,0,0.37339047,Low Risk
0365-TRTPY,0,0,0.07932296,Low Risk
6712-OAWRH,1,1,0.63320076,Medium Risk
2428-ZMCTB,0,0,0.0669809,Low Risk
1963-VAUKV,1,0,0.14256074,Low Risk
9381-NDKME,1,0,0.4444209,Low Risk
3729-OWRVL,0,0,0.45398206,Low Risk
0895-LMRSF,0,0,0.15629439,Low Risk
2676-SSLTO,0,0,0.0053389496,Low Risk
8495-PRWFH,0,0,0.13225794,Low Risk
9030-QGZNL,0,0,0.0021122643,Low Risk
9972-NKTFD,0,0,0.058916602,Low Risk
7998-WNZEM,0,0,9.66921e-05,Low Risk
0979-PHULV,1,1,0.69576055,Medium Risk
6445-TNRXS,0,0,0.06294399,Low Risk
9586-JGQKH,0,0,0.0024474792,Low Risk
3966-HRMZA,0,0,0.28075808,Low Risk
5498-IBWPI,0,0,0.008109108,Low Risk
6823-SIDFQ,0,0,8.820176e-05,Low Risk
2323-ARSVR,0,0,0.034772273,Low Risk
5468-BPMMO,0,0,0.04314382,Low Risk
0486-HECZI,1,0,0.4680457,Low Risk
2178-PMGCJ,0,0,0.33498517,Low Risk
4660-IRIBM,0,1,0.73950833,Medium Risk
9674-EHPPG,0,0,0.003886909,Low Risk
5606-AMZBO,0,1,0.5037082,Medium Risk
0665-XHDJU,0,0,0.09517166,Low Risk
5402-HTOTQ,0,0,0.45261124,Low Risk
8258-GSTJK,1,1,0.86425644,High Risk
3787-TRIAL,0,0,0.21988001,Low Risk
6175-IRFIT,0,0,0.49287984,Low Risk
6317-YPKDH,1,0,0.3761265,Low Risk
5692-FPTAH,1,0,0.47510028,Low Risk
5373-SFODM,1,1,0.53044623,Medium Risk
0868-VJRDR,0,0,0.003036045,Low Risk
4079-VTGLK,0,0,0.013378246,Low Risk
1166-PQLGG,0,0,0.00016020771,Low Risk
5296-BFCYD,0,0,0.0013452049,Low Risk
6568-POCUI,0,0,0.09410406,Low Risk
2839-RFSQE,1,0,0.05301304,Low Risk
2188-SXWVT,0,0,0.0118914945,Low Risk
8849-GYOKR,1,0,0.228103,Low Risk
3623-FQBOX,0,0,0.044911213,Low Risk
2649-HWLYB,0,0,0.15964301,Low Risk
0599-XNYDO,0,0,0.45300144,Low Risk
2514-GINMM,1,1,0.9611942,High Risk
8401-EMUWF,0,0,0.043700017,Low Risk
5766-ZJYBB,1,0,0.26326004,Low Risk
2604-IJPDU,0,1,0.53766125,Medium Risk
2501-XWWTZ,0,0,0.26751307,Low Risk
6370-ZVHDV,0,0,0.008347209,Low Risk
3027-YNWZU,0,0,0.003842407,Low Risk
4526-ZJJTM,0,0,0.39479467,Low Risk
0440-QEXBZ,0,0,0.06402542,Low Risk
0330-IVZHA,1,0,0.39681983,Low Risk
9758-MFWGD,0,1,0.57420534,Medium Risk
4229-CZMLL,1,1,0.8686011,High Risk
0742-MOABM,1,0,0.12851404,Low Risk
4277-BWBML,0,0,0.00021370489,Low Risk
5136-GFPMB,0,0,0.06584885,Low Risk
7520-HQWJU,0,0,0.013068097,Low Risk
6304-IJFSQ,1,0,0.3910101,Low Risk
0297-RBCSG,0,0,0.10294254,Low Risk
6013-BHCAW,0,0,0.0029206781,Low Risk
4402-FTBXC,0,0,0.08608676,Low Risk
1471-GIQKQ,0,0,0.16185534,Low Risk
4283-FUTGF,1,1,0.5527081,Medium Risk
9548-LERKT,0,0,0.0028633508,Low Risk
8059-UDZFY,0,0,0.3917622,Low Risk
0410-IPFTY,0,1,0.7764022,High Risk
2478-EEWWM,0,1,0.749566,Medium Risk
4619-EVPHY,0,0,0.108374156,Low Risk
2277-DJJDL,0,0,0.21406819,Low Risk
2911-WDXMV,0,0,0.13219963,Low Risk
3639-XJHKQ,0,0,0.07890841,Low Risk
8173-RXAYP,0,0,0.0015884981,Low Risk
4537-CIBHB,0,0,0.15075289,Low Risk
5442-BXVND,0,0,0.24522021,Low Risk
2308-STERM,0,0,0.12009815,Low Risk
7159-NOKYQ,0,0,0.012220502,Low Risk
6075-QMNRR,0,0,0.010968791,Low Risk
3694-GLTJM,0,0,0.079276815,Low Risk
9629-NHXFW,0,1,0.5376594,Medium Risk
7167-PCEYD,0,0,0.0010993613,Low Risk
2748-MYRVK,1,0,0.10682903,Low Risk
4223-WOZCM,0,1,0.527865,Medium Risk
6946-LMSQS,1,0,0.1666859,Low Risk
5469-NUJUR,0,0,0.002375121,Low Risk
6388-TABGU,0,0,0.012404441,Low Risk
1261-FWTTE,0,1,0.6520927,Medium Risk
8590-YFFQO,0,0,0.005425623,Low Risk
0082-OQIQY,0,0,0.24635209,Low Risk
9465-RWMXL,1,0,0.4173383,Low Risk
2930-UOTMB,1,0,0.043842316,Low Risk
9128-CPXKI,0,0,0.049825516,Low Risk
0484-FFVBJ,0,0,0.15713479,Low Risk
1100-DDVRV,0,0,0.39868104,Low Risk
9313-QOLTZ,0,0,0.03359463,Low Risk
3338-CVVEH,0,1,0.9002285,High Risk
1131-SUEKT,0,0,0.065911695,Low Risk
7602-DBTOU,0,0,0.0013191359,Low Risk
1385-TQOZW,0,0,0.06992274,Low Risk
6892-XPFPU,1,1,0.7202156,Medium Risk
4115-NZRKS,0,0,0.30339742,Low Risk
5514-YQENT,0,0,0.13342106,Low Risk
6319-IEJWJ,1,0,0.4922497,Low Risk
8849-AYPTR,0,0,0.2790006,Low Risk
5893-PYOLZ,0,0,0.00064329064,Low Risk
7180-PISOG,1,1,0.9183314,High Risk
8443-ZRDBZ,1,1,0.7944349,High Risk
9079-YEXQJ,1,0,0.124667965,Low Risk
3780-YVMFA,0,0,0.25233763,Low Risk
6968-MHOMU,0,0,0.24946357,Low Risk
0899-LIIBW,0,0,0.30086476,Low Risk
3677-IYRBF,1,1,0.9380568,High Risk
8393-DLHGA,1,1,0.58496463,Medium Risk
7691-XVTZH,0,0,0.07198634,Low Risk
5360-LJCNJ,0,0,0.0926961,Low Risk
3891-PUQOD,1,1,0.86111695,High Risk
0952-KMEEH,1,1,0.7754733,High Risk
4919-IKATY,1,1,0.52130896,Medium Risk
9746-UGFAC,0,0,0.019365413,Low Risk
9108-EQPNQ,0,0,0.016820759,Low Risk
0531-ZZJWQ,0,0,0.4435673,Low Risk
8763-KIAFH,0,0,0.0016412914,Low Risk
5863-OOKCL,0,0,0.0034957142,Low Risk
2958-NHPPS,0,0,0.022169208,Low Risk
9530-GRMJG,0,0,0.0071675307,Low Risk
1809-DMJHQ,1,0,0.3534802,Low Risk
0164-XAIRP,0,0,0.0033843282,Low Risk
2926-JEJJC,0,0,0.031800848,Low Risk
1169-WCVAK,0,0,0.058472298,Low Risk
1217-VASWC,0,0,0.44581243,Low Risk
2452-KDRRH,0,0,0.42990926,Low Risk
6402-EJMWF,0,1,0.5462228,Medium Risk
7663-CUXZB,0,0,0.119439356,Low Risk
4312-KFRXN,0,0,0.00027171025,Low Risk
3011-WQKSZ,0,0,0.20166329,Low Risk
9747-DDZOS,1,1,0.528986,Medium Risk
2091-MJTFX,1,0,0.03919455,Low Risk
0388-EOPEX,1,0,0.2587683,Low Risk
3161-ONRWK,0,0,0.0022466753,Low Risk
2587-EKXTS,0,0,0.10473287,Low Risk
9752-ZNQUT,0,0,0.44537142,Low Risk
9572-WUKSB,0,0,0.4784644,Low Risk
3836-FZSDJ,0,0,0.0006836942,Low Risk
8805-JNRAZ,0,0,0.2267769,Low Risk
3069-SSVSN,0,0,0.054707345,Low Risk
8015-IHCGW,0,0,0.0025893187,Low Risk
8132-YPVBX,0,1,0.7696592,High Risk
0235-KGSLC,1,1,0.79239607,High Risk
1302-UHBDD,0,1,0.62294626,Medium Risk
3722-WPXTK,1,1,0.8314653,High Risk
7531-GQHME,0,0,0.055517763,Low Risk
1335-NTIUC,0,1,0.52915734,Medium Risk
9367-TCUYN,0,0,0.10757141,Low Risk
1536-HBSWP,0,0,0.26580927,Low Risk
8573-JGCZW,0,0,0.031080123,Low Risk
2694-CIUMO,0,1,0.59456056,Medium Risk
2027-FECZV,1,0,0.42129275,Low Risk
9103-TCIHJ,1,0,0.35644767,Low Risk
1545-JFUML,0,0,0.0036813691,Low Risk
0524-IAVZO,1,1,0.59082,Medium Risk
5519-TEEUH,0,0,0.017720722,Low Risk
6654-QGBZZ,0,0,0.42172018,Low Risk
2294-DMMUS,0,0,0.014860926,Low Risk
0017-IUDMW,0,0,0.006344192,Low Risk
5018-LXQQG,0,0,0.07265721,Low Risk
5808-TOTXO,0,0,0.044682093,Low Risk
1174-FGIFN,0,0,0.1566793,Low Risk
0730-KOAVE,0,1,0.57227296,Medium Risk
1218-VKFPE,1,0,0.006796572,Low Risk
5313-FPXWG,0,0,0.011777976,Low Risk
2834-JKOOW,0,0,0.021211257,Low Risk
9430-NKQLY,0,0,0.00035562977,Low Risk
0363-QJVFX,1,0,0.04007815,Low Risk
1658-TJVOA,0,1,0.7944006,High Risk
6685-GBWJZ,0,0,0.008172582,Low Risk
6328-ZPBGN,1,1,0.8676456,High Risk
4003-FUSHP,0,0,0.29372665,Low Risk
7690-KPNCU,0,0,0.024151845,Low Risk
2969-WGHQO,0,0,0.071587,Low Risk
1855-CFULU,0,0,0.23774824,Low Risk
9788-YTFGE,0,0,0.09265147,Low Risk
8266-VBFQL,0,1,0.66287553,Medium Risk
2325-NBPZG,0,0,0.43138173,Low Risk
9906-NHHVC,0,0,0.018439073,Low Risk
2541-YGPKE,0,0,0.11471966,Low Risk
5049-MUBWG,0,0,0.01194426,Low Risk
2332-TODQS,0,0,0.0072978917,Low Risk
4419-UJMUS,0,0,0.050953478,Low Risk
2233-TXSIU,0,0,0.05059438,Low Risk
6770-XUAGN,1,1,0.5251495,Medium Risk
2919-HBCJO,1,1,0.73949707,Medium Risk
9508-ILZDG,0,0,0.43339172,Low Risk
5442-BHQNG,0,1,0.6337866,Medium Risk
7250-EQKIY,1,1,0.83425075,High Risk
6838-HVLXG,0,0,0.041529223,Low Risk
9767-FFLEM,0,0,0.2780308,Low Risk
2245-ADZFJ,0,0,0.00269706,Low Risk
1150-WFARN,1,0,0.0903424,Low Risk
9054-FOWNV,0,1,0.6687765,Medium Risk
7997-EASSD,0,0,0.0012259663,Low Risk
7560-QJAVJ,0,0,0.01308816,Low Risk
2668-TZSPS,0,0,0.086275,Low Risk
9139-WQQDY,1,0,0.059181117,Low Risk
6726-NNFWD,0,0,0.0034768013,Low Risk
9330-DHBFL,0,0,0.13876945,Low Risk
5727-MYATE,0,0,0.00016509928,Low Risk
2824-DXNKN,0,0,0.002707685,Low Risk
6166-ILMNY,1,1,0.6252994,Medium Risk
5236-XMZJY,0,0,0.07005148,Low Risk
1709-EJDOX,0,0,0.0074894545,Low Risk
4962-CHQPW,0,0,0.001349854,Low Risk
0301-FIDRB,0,0,0.0010984972,Low Risk
1820-TQVEV,1,1,0.9698241,High Risk
9115-YQHGA,0,0,0.1377999,Low Risk
1541-ETJZO,1,0,0.33043993,Low Risk
6230-BSUXY,1,1,0.96445334,High Risk
6797-LNAQX,1,0,0.035487343,Low Risk
9588-YRFHY,0,0,0.0005460617,Low Risk
1092-GANHU,1,0,0.18944147,Low Risk
5951-AOFIH,0,0,0.32062677,Low Risk
7029-RPUAV,1,0,0.15110835,Low Risk
4700-UBQMV,0,0,0.14136912,Low Risk
3594-UVONA,1,0,0.073449686,Low Risk
7750-EYXWZ,0,0,0.08558536,Low Risk
7054-ENNGU,0,0,0.11542429,Low Risk
0402-OAMEN,0,0,0.00026858706,Low Risk
2195-VVRJF,0,0,0.08321603,Low Risk
8819-ZBYNA,0,0,0.3230633,Low Risk
7748-UMTRK,0,1,0.57223463,Medium Risk
1741-WTPON,0,0,0.015099311,Low Risk
7209-JCUDS,1,1,0.7837951,High Risk
2485-ITVKB,1,1,0.72835714,Medium Risk
9648-BCHKM,0,0,0.0046635796,Low Risk
0743-HRVFF,0,0,0.062109955,Low Risk
2522-AHJXR,0,0,0.056858465,Low Risk
9143-CANJF,0,0,0.040099047,Low Risk
1444-VVSGW,1,0,0.2820738,Low Risk
6898-MDLZW,0,0,0.14926541,Low Risk
0074-HDKDG,0,0,0.14238794,Low Risk
3982-JGSFD,0,0,0.00170193,Low Risk
7928-VJYAB,0,0,0.4175405,Low Risk
1522-VVDMG,1,1,0.557698,Medium Risk
2665-NPTGL,0,1,0.6092602,Medium Risk
8728-SKJLR,0,0,0.37904802,Low Risk
7733-UDMTP,0,0,0.41372472,Low Risk
0431-APWVY,1,0,0.116268076,Low Risk
5081-NWSUP,0,0,0.13638334,Low Risk
2746-DIJLO,0,0,0.3587083,Low Risk
7277-OZCGZ,0,0,0.33465827,Low Risk
5236-PERKL,1,0,0.041068874,Low Risk
2788-CJQAQ,0,0,0.0017430593,Low Risk
3096-WPXBT,0,0,0.08566133,Low Risk
9962-BFPDU,0,0,0.3355302,Low Risk
2892-GESUL,0,0,0.004705667,Low Risk
9741-YLNTD,0,1,0.7272336,Medium Risk
1205-WNWPJ,1,0,0.063171305,Low Risk
3173-NVMPX,0,0,0.25280827,Low Risk
9661-MHUMO,1,0,0.28865886,Low Risk
6000-APYLU,1,0,0.4505037,Low Risk
0048-PIHNL,0,0,0.002447657,Low Risk
9420-LOJKX,1,1,0.87104684,High Risk
7061-OVMIM,0,0,0.0054682293,Low Risk
5671-RQRLP,0,0,0.05924133,Low Risk
5129-JLPIS,0,1,0.7378833,Medium Risk
5170-PTRKA,0,0,0.0013370394,Low Risk
4819-HJPIW,0,0,0.11085768,Low Risk
8780-RSYYU,0,0,0.0077840895,Low Risk
2335-GSODA,0,0,0.007257392,Low Risk
5696-CEIQJ,0,0,0.07146076,Low Risk
6169-PPETC,0,0,0.002039341,Low Risk
4237-RLAQD,1,1,0.65419215,Medium Risk
7359-WWYJV,0,0,0.0026474998,Low Risk
8620-RJPZN,0,0,0.29609773,Low Risk
7426-WEIJX,0,0,0.055680722,Low Risk
7629-WIXZF,0,0,0.18506685,Low Risk
2616-FLVQC,0,0,0.014240707,Low Risk
9163-GHAYE,0,0,0.18863526,Low Risk
4464-JCOLN,1,0,0.029788738,Low Risk
2971-SGAFL,0,0,0.36785552,Low Risk
4735-ASGMA,1,1,0.64466083,Medium Risk
5245-VDBUR,0,0,0.02155927,Low Risk
1493-AMTIE,1,0,0.32474768,Low Risk
1112-CUNAO,1,1,0.7764558,High Risk
7571-YXDAD,1,0,0.4546195,Low Risk
8714-EUHJO,1,0,0.41870344,Low Risk
9040-KZVWO,0,0,0.02670243,Low Risk
6713-OKOMC,0,0,0.08542248,Low Risk
8749-CLJXC,0,0,0.4029133,Low Risk
4713-LZDRV,1,1,0.88875824,High Risk
6598-RFFVI,1,0,0.0030463345,Low Risk
7470-MCQTK,1,0,0.41370258,Low Risk
5524-KHNJP,0,0,0.15072316,Low Risk
1707-HABPF,0,0,0.04207663,Low Risk
4581-LNWUM,0,0,0.39500043,Low Risk
9710-ZUSHQ,1,0,0.08145111,Low Risk
1697-LYYYX,0,0,0.0006441502,Low Risk
4013-GUXND,0,0,0.35003632,Low Risk
5022-JNQEQ,0,1,0.62294745,Medium Risk
4983-CCWMC,0,1,0.550213,Medium Risk
6345-FZOQH,0,0,0.00048303595,Low Risk
0962-CQPWQ,0,0,0.0005591777,Low Risk
5495-GPSRW,0,0,0.0046221414,Low Risk
2252-JHJGE,0,0,0.16823883,Low Risk
7356-AYNJP,0,0,0.04402738,Low Risk
2019-HDCZY,0,0,0.022620374,Low Risk
8582-KRHPJ,0,0,0.025689535,Low Risk
2867-UIMSS,1,1,0.88991535,High Risk
3487-EARAT,0,0,0.21565303,Low Risk
9926-PJHDQ,0,0,0.011516913,Low Risk
0289-IVARM,0,0,0.053580824,Low Risk
4672-FOTSD,0,0,0.061288606,Low Risk
6198-PNNSZ,0,0,0.080304645,Low Risk
7603-USHJS,1,0,0.3659156,Low Risk
6784-XYJAE,0,0,0.011305303,Low Risk
3858-XHYJO,0,0,0.16641478,Low Risk
1087-UDSIH,1,0,0.14524294,Low Risk
7251-LJBQN,0,0,0.14146723,Low Risk
3200-MNQTF,0,0,0.1812848,Low Risk
9359-UGBTK,0,0,0.027992845,Low Risk
8160-HOWOX,0,0,0.25563368,Low Risk
0258-NOKBL,0,1,0.6670859,Medium Risk
2800-QQUSO,0,1,0.6676841,Medium Risk
2129-ALKBS,0,0,0.031693593,Low Risk
9972-VAFJJ,0,0,0.10508099,Low Risk
4693-VWVBO,0,0,0.09983982,Low Risk
6969-MVBAI,0,1,0.89088404,High Risk
4821-WQOYN,0,0,0.00027880396,Low Risk
6769-DYBQN,1,0,0.21230265,Low Risk
4018-PPNDW,0,0,0.0032930968,Low Risk
6288-CHQJB,0,0,0.0015635147,Low Risk
4905-JEFDW,1,1,0.5237918,Medium Risk
0559-CKHUS,0,0,0.0031759134,Low Risk
2659-VXMWZ,1,0,0.045908425,Low Risk
6559-RAKOZ,0,0,0.43594658,Low Risk
8809-XKHMD,0,0,0.002359647,Low Risk
6365-HITVU,0,0,0.00031006258,Low Risk
0134-XWXCE,0,0,0.06736186,Low Risk
9720-JJJOR,0,0,0.097301535,Low Risk
2782-LFZVW,0,0,0.08857529,Low Risk
6112-KTHFQ,0,0,0.043431025,Low Risk
9220-ZNKJI,0,0,0.021491157,Low Risk
9820-RMCQV,1,0,0.077861086,Low Risk
9013-AQORL,0,0,0.08260363,Low Risk
2040-OBMLJ,0,0,0.01951542,Low Risk
5574-NXZIU,0,0,0.040856965,Low Risk
5446-DKWYW,0,0,0.047839936,Low Risk
0480-KYJVA,0,0,5.322947e-05,Low Risk
1074-AMIOH,0,0,0.05797998,Low Risk
0015-UOCOJ,0,0,0.3342132,Low Risk
0256-LTHVJ,1,0,0.24364637,Low Risk
4547-LYTDD,1,0,0.37175107,Low Risk
1077-HUUJM,0,1,0.8697268,High Risk
2041-JIJCI,0,0,0.30567423,Low Risk
1555-HAPSU,0,0,0.000104614286,Low Risk
4323-SADQS,1,0,0.3740335,Low Risk
3292-PBZEJ,0,1,0.7413842,Medium Risk
6203-HBZPA,0,0,0.0050728167,Low Risk
9755-JHNMN,0,0,0.006907154,Low Risk
7369-TRPFD,0,0,0.00083171914,Low Risk
9878-TNQGW,1,1,0.7632149,High Risk
2279-AXJJK,0,0,0.10065468,Low Risk
5016-IBERQ,0,1,0.56662834,Medium Risk
1016-DJTSV,0,0,0.4593604,Low Risk
8433-WPJTV,0,0,0.059500884,Low Risk
8903-XEBGX,0,1,0.8498792,High Risk
2632-TACXW,0,0,0.0070838802,Low Risk
7952-OBOYL,0,1,0.6786173,Medium Risk
1470-PSXNM,0,0,0.38123074,Low Risk
6227-HWPWX,1,0,0.3602619,Low Risk
5924-SNGKP,0,0,0.0019932778,Low Risk
8818-DOPVL,0,0,0.32767394,Low Risk
4521-WFJAI,0,0,0.018767172,Low Risk
4724-WXVWF,0,0,0.41403323,Low Risk
3717-OEAUQ,0,1,0.5244423,Medium Risk
8165-ZJRNM,0,0,0.0001341125,Low Risk
7838-LAZFO,0,0,0.057319526,Low Risk
0513-RBGPE,0,0,0.0073116394,Low Risk
7251-XFOIL,0,0,0.012616404,Low Risk
2525-GVKQU,0,0,0.007363612,Low Risk
7579-OOPEC,1,0,0.31538668,Low Risk
3795-GWTRD,0,0,0.0005918866,Low Risk
4750-ZRXIU,1,1,0.8399636,High Risk
5445-PZWGX,1,0,0.01966691,Low Risk
0516-UXRMT,0,0,0.05341546,Low Risk
0727-BNRLG,0,0,0.009340033,Low Risk
3932-CMDTD,1,1,0.5814743,Medium Risk
1264-FUHCX,0,0,0.061692655,Low Risk
6194-HBGQN,0,0,0.010118847,Low Risk
4524-QCSSM,0,1,0.58805686,Medium Risk
4570-QHXHL,0,1,0.8126597,High Risk
2972-YDYUW,0,0,0.07537504,Low Risk
2061-VVFST,0,0,0.056462746,Low Risk
6874-SGLHU,0,0,0.29843295,Low Risk
9844-FELAJ,0,0,0.1597022,Low Risk
1902-XBTFB,1,0,0.49675792,Low Risk
9039-RBEEE,1,0,0.020215057,Low Risk
9369-XFEHK,1,1,0.5801119,Medium Risk
3680-CTHUH,0,0,0.05324475,Low Risk
3679-XASPY,0,0,0.33223748,Low Risk
9089-UOWJG,0,0,0.21105574,Low Risk
1574-DYCWE,0,0,0.002240044,Low Risk
9779-DPNEJ,0,1,0.55663645,Medium Risk
2967-MXRAV,0,0,0.011388392,Low Risk
0327-WFZSY,0,0,0.21604511,Low Risk
1731-TVIUK,1,1,0.95634013,High Risk
7666-WKRON,1,0,0.011793082,Low Risk
3865-ZYKAD,0,0,0.017227884,Low Risk
1465-LNTLJ,0,0,0.03125946,Low Risk
2696-RZVZW,0,0,0.0007794912,Low Risk
0685-MLYYM,1,1,0.7404786,Medium Risk
2778-OCLGR,1,1,0.5242808,Medium Risk
3982-XWFZQ,1,0,0.17058085,Low Risk
4759-PXTAN,0,0,0.017394684,Low Risk
1448-PWKYE,1,1,0.9411547,High Risk
8741-LQOBK,0,0,0.31237665,Low Risk
8650-RHRKE,1,1,0.5515262,Medium Risk
7266-GSSJX,0,0,0.047050267,Low Risk
1265-HVPZB,0,0,0.02105649,Low Risk
9640-ZSLDC,0,0,0.0976258,Low Risk
0988-JRWWP,0,1,0.7592601,High Risk
1926-QUZNN,0,0,0.00047058327,Low Risk
9025-ZRPVR,1,0,0.008896685,Low Risk
6527-PZFPV,0,0,0.0049451343,Low Risk
